Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.35497,0.10982,0.55714,0,0,0,18.063,0.20037,-1.3152E-07,0.0037179,0.35275,-3.781E-05,0.47466,0,0,0,0,0,0,package://drive3/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://drive3/meshes/base.STL,,Roll Cage Final ALE-2;new suspension new wheels-1/Rocker Connector-1;Mirrornew suspension new wheels1-2/MirrorRocker Connector-1;Mirrornew suspension new wheels1-2/Mirrorbogie arm-1;Mirrornew suspension new wheels1-2/Mirrorrocker arm-1;Mirrornew suspension new wheels1-2/MirrorROCKER TO BOGE-1;Mirrornew suspension new wheels1-2/MirrorBogie Connector-1;Mirrornew suspension new wheels1-2/Mirrorbogie short arm-2;Mirrornew suspension new wheels1-2/Mirrorbogie short arm-1;Mirrornew suspension new wheels1-2/Mirrorgear box holder-1;Mirrornew suspension new wheels1-2/MirrorGEAR BOX LEFT-1;Mirrornew suspension new wheels1-2/Mirrorgear box holder ROCKER-1;new suspension new wheels-1/rocker arm-1;new suspension new wheels-1/bogie arm-1;new suspension new wheels-1/ROCKER TO BOGE-2;new suspension new wheels-1/Bogie Connector-1;new suspension new wheels-1/bogie short arm-2;new suspension new wheels-1/bogie short arm-1;new suspension new wheels-1/GEAR BOX LEFT-1;new suspension new wheels-1/gear box holder-1;new suspension new wheels-1/gear box holder ROCKER-1;new suspension new wheels-1/top-1;new suspension new wheels-1/Bottom Suspension-1;new suspension new wheels-1/hub motor mount-1;new suspension new wheels-1/hub motor mount-3;new suspension new wheels-1/top-2;new suspension new wheels-1/Bottom Suspension-2;new suspension new wheels-1/hub motor mount-2;new suspension new wheels-1/top-3;new suspension new wheels-1/Bottom Suspension-3;Mirrornew suspension new wheels1-2/MirrorBottom Suspension-1;Mirrornew suspension new wheels1-2/Mirrortop-1;Mirrornew suspension new wheels1-2/Mirrorhub motor mount-1;Mirrornew suspension new wheels1-2/Mirrortop-2;Mirrornew suspension new wheels1-2/MirrorBottom Suspension-2;Mirrornew suspension new wheels1-2/Mirrorhub motor mount-3;Mirrornew suspension new wheels1-2/MirrorBottom Suspension-3;Mirrornew suspension new wheels1-2/Mirrortop-3;Mirrornew suspension new wheels1-2/Mirrorhub motor mount-2;Mirrornew suspension new wheels1-2/Mirrorconnector rod r to b-1;new suspension new wheels-1/connector rod r to b-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_1,0.55966,0.39675,0.0077885,0,0,0,0.93296,0.0032607,-1.9792E-12,7.218E-14,0.0013996,0.00072794,0.0023169,0,0,0,0,0,0,package://drive3/meshes/steer_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://drive3/meshes/steer_1.STL,,new suspension new wheels-1/inner roatating hub-1;new suspension new wheels-1/wheel connector-1;new suspension new wheels-1/wheel connector 2-5,Origin_steer_joint_1,Axis_steer_joint_1,steer_joint_1,revolute,-0.38981,-0.6439,-0.26639,3.1266,0.16055,-3.1146,base,0.15986,-0.014782,0.98703,0,0,0,0,,,,,,,,
wheel_1,0.632386178377502,0.015625298348256,-0.446756264575141,0,0,0,3.55769702765534,0.0252798529107038,7.73019516263742E-10,-1.31472155428039E-10,0.0397292242010914,-2.42390579607626E-09,0.0252799321811344,0,0,0,0,0,0,package://drive3/meshes/wheel_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive3/meshes/wheel_1.STL,,new suspension new wheels-1/prototype ass-1/wheel soft part-1;new suspension new wheels-1/prototype ass-1/wheel hub-2;new suspension new wheels-1/prototype ass-1/retaining ring-1;new suspension new wheels-1/prototype ass-1/retaining ring-2;new suspension new wheels-1/prototype ass-1/grub cap-1;new suspension new wheels-1/prototype ass-1/motor holder prototype-1,Origin_wheel_joint_1,Axis_wheel_joint_1,wheel_joint_1,revolute,-0.00080685,7.4606E-05,-0.0049816,1.5708,0,0.14638,steer_1,0.156,0.98703,0.037941,0,0,0,0,,,,,,,,
steer_2,0.55966,0.39675,-0.0077885,0,0,0,0.93296,0.0032607,-1.1084E-12,-9.7378E-13,0.0013996,-0.00072794,0.0023169,0,0,0,0,0,0,package://drive3/meshes/steer_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive3/meshes/steer_2.STL,,Mirrornew suspension new wheels1-2/Mirrorinner roatating hub-1;Mirrornew suspension new wheels1-2/Mirrorwheel connector-1;Mirrornew suspension new wheels1-2/Mirrorwheel connector 2-1,Origin_steer_joint_2,Axis_steer_joint_2,steer_joint_2,revolute,-0.38981,-0.6439,0.48751,-3.1266,-0.16055,-3.1146,base,0.15986,-0.014782,-0.98703,0,0,0,0,,,,,,,,
wheel_2,0.632390763476593,0.0156201593477349,0.44675231879292,0,0,0,3.55819809981133,0.0252796599595112,1.40358695118389E-09,-1.99331117931023E-09,0.0397304966119086,-5.52164327195098E-09,0.0252797287873775,0,0,0,0,0,0,package://drive3/meshes/wheel_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive3/meshes/wheel_2.STL,,Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrorwheel soft part-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrorretaining ring-2;Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrorwheel hub-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrorgrub cap-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrorretaining ring-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass3-1/Mirrormotor holder prototype-1,Origin_wheel_joint_2,Axis_wheel_joint_2,wheel_joint_2,revolute,-0.00080685,7.4606E-05,0.0049816,-1.5708,0,0.14638,steer_2,0.156,0.98703,-0.037941,0,0,0,0,,,,,,,,
steer_3,0.091579,0.39809,0.084573,0,0,0,0.93296,0.0032607,-1.9785E-12,7.2576E-14,0.0013996,0.00072794,0.0023169,0,0,0,0,0,0,package://drive3/meshes/steer_3.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://drive3/meshes/steer_3.STL,,new suspension new wheels-1/inner roatating hub-2;new suspension new wheels-1/wheel connector-2;new suspension new wheels-1/wheel connector 2-6,Origin_steer_joint_3,Axis_steer_joint_3,steer_joint_3,revolute,-0.38981,-0.6439,-0.26639,3.1266,0.16055,-3.1146,base,0.15986,-0.014788,0.98703,0,0,0,0,,,,,,,,
wheel_3,0.361993144143722,0.0961827287359436,0.405419611566657,0,0,0,3.55769708838011,0.0252798482708474,-7.88645922628365E-10,-2.59567017619339E-09,0.0397292243514331,-2.58774197019586E-09,0.0252799345104986,0,0,0,0,0,0,package://drive3/meshes/wheel_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive3/meshes/wheel_3.STL,,new suspension new wheels-1/prototype ass-2/wheel soft part-1;new suspension new wheels-1/prototype ass-2/wheel hub-2;new suspension new wheels-1/prototype ass-2/retaining ring-2;new suspension new wheels-1/prototype ass-2/grub cap-1;new suspension new wheels-1/prototype ass-2/retaining ring-1;new suspension new wheels-1/prototype ass-2/motor holder prototype-1,Origin_wheel_joint_3,Axis_wheel_joint_3,wheel_joint_3,revolute,-0.001418,0.00013117,-0.0087549,1.5708,0,2.2408,steer_3,0.11086,-0.98703,-0.11612,0,0,0,0,,,,,,,,
steer_4,0.091579,0.39809,-0.084573,0,0,0,0.93296,0.0032607,-1.1078E-12,-9.743E-13,0.0013996,-0.00072794,0.0023169,0,0,0,0,0,0,package://drive3/meshes/steer_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://drive3/meshes/steer_4.STL,,Mirrornew suspension new wheels1-2/Mirrorinner roatating hub-2;Mirrornew suspension new wheels1-2/Mirrorwheel connector-2;Mirrornew suspension new wheels1-2/Mirrorwheel connector 2-2,Origin_steer_joint_4,Axis_steer_joint_4,steer_joint_4,revolute,-0.38981,-0.6439,0.48751,-3.1266,-0.16055,-3.1146,base,0.15986,-0.014788,-0.98703,0,0,0,0,,,,,,,,
wheel_4,0.361985430424447,0.096177654644066,-0.405420381033261,0,0,0,3.55826837186396,0.0252796606011502,-1.70205026490001E-08,7.47146953680722E-11,0.0397304958436916,-2.76957251810163E-09,0.0252797285945412,0,0,0,0,0,0,package://drive3/meshes/wheel_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drive3/meshes/wheel_4.STL,,Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrorwheel soft part-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrorretaining ring-2;Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrorwheel hub-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrorgrub cap-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrorretaining ring-1;Mirrornew suspension new wheels1-2/Mirrorprototype ass4-1/Mirrormotor holder prototype-1,Origin_wheel_joint_4,Axis_wheel_joint_4,wheel_joint_4,revolute,-0.001418,0.00013117,0.0087549,-1.5708,0,2.2408,steer_4,0.11086,-0.98703,0.11612,0,0,0,0,,,,,,,,
steer_5,-0.42918,0.36281,0.17186,0,0,0,0.93296,0.0032607,-8.3553E-13,6.3926E-13,0.0013996,0.00072794,0.0023169,0,0,0,0,0,0,package://drive3/meshes/steer_5.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://drive3/meshes/steer_5.STL,,new suspension new wheels-1/inner roatating hub-3;new suspension new wheels-1/wheel connector-3;new suspension new wheels-1/wheel connector 2-7,Origin_steer_joint_5,Axis_steer_joint_5,steer_joint_5,revolute,-0.38981,-0.6439,-0.26397,3.1174,0.15943,3.1107,base,0.15876,-0.023886,0.98703,0,0,0,0,,,,,,,,
